,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label
354,SEQU,0,2,0,1,0,0,0,0,0,3,8.0,"High Visitation, Rural"
355,SHEN,0,2,0,1,0,0,0,0,0,3,9.0,"High Visitation, Urban"
356,SHIL,3,2,0,1,1,1,3,0,1,12,8.0,"High Visitation, Rural"
357,SITK,0,2,0,1,0,0,0,0,0,3,8.0,"High Visitation, Rural"
358,SLBE,16,3,2,3,4,0,12,4,1,45,1.0,Transit Park
359,SPAR,2,3,1,3,0,0,0,0,0,9,6.0,"Low Visitation, Urban"
360,STEA,5,6,0,1,0,0,1,0,0,13,6.0,"Low Visitation, Urban"
361,STLI,8,47,1,12,1,1,8,1,0,79,1.0,Transit Park
362,STON,1,2,0,1,0,0,0,0,0,4,4.0,High Seasonality
363,STRI,2,2,0,1,0,0,1,0,0,6,6.0,"Low Visitation, Urban"
364,SUCR,5,2,0,2,0,0,1,0,0,10,7.0,"Low Visitation, Rural"
365,TAPR,11,3,1,1,1,1,3,0,0,21,5.0,Limited Access
366,THIS,1,2,0,2,0,0,0,0,0,5,2.0,Urban Sites
367,THJE,2,2,0,1,7,0,2,0,0,14,2.0,Urban Sites
368,THKO,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites
369,THRB,3,3,0,1,0,0,1,0,0,8,2.0,Urban Sites
370,THRI,2,2,1,3,2,0,0,0,2,12,3.0,Rural Sites
371,THRO,1,2,0,1,0,0,0,0,0,4,8.0,"High Visitation, Rural"
372,THST,1,5,0,4,0,0,2,0,0,12,5.0,Limited Access
373,TICA,1,4,1,4,0,1,0,0,0,11,6.0,"Low Visitation, Urban"
374,TIMU,3,5,2,4,0,0,4,0,0,18,9.0,"High Visitation, Urban"
375,TONT,0,4,0,1,0,0,0,0,0,5,7.0,"Low Visitation, Rural"
376,TUAI,7,2,3,1,0,0,2,0,0,15,7.0,"Low Visitation, Rural"
377,TUIN,6,2,2,1,0,0,1,0,0,12,7.0,"Low Visitation, Rural"
378,TUMA,0,3,0,2,0,0,0,0,0,5,7.0,"Low Visitation, Rural"
379,TUPE,2,2,0,1,0,0,2,0,0,7,,
380,TUSK,0,2,0,1,0,0,2,0,0,5,5.0,Limited Access
381,TUZI,0,5,0,2,0,0,0,0,0,7,7.0,"Low Visitation, Rural"
382,ULSG,6,7,0,5,0,0,2,0,0,20,6.0,"Low Visitation, Urban"
383,UPDE,1,2,1,1,0,0,0,0,0,5,8.0,"High Visitation, Rural"
384,VAFO,2,2,0,1,0,18,0,0,0,23,9.0,"High Visitation, Urban"
385,VALL,4,2,0,4,0,0,3,0,0,13,7.0,"Low Visitation, Rural"
386,VALR,5,2,3,1,1,1,3,0,0,16,,
387,VAMA,4,4,1,3,0,3,1,0,0,16,6.0,"Low Visitation, Urban"
388,VICK,0,2,0,1,0,0,0,0,0,3,8.0,"High Visitation, Rural"
389,VICR,0,2,0,1,0,0,0,0,0,3,,
390,VIIS,0,3,0,1,0,0,0,0,0,4,6.0,"Low Visitation, Urban"
391,VIVE,0,2,0,1,7,0,2,0,7,19,2.0,Urban Sites
392,VOYA,0,2,0,1,2,0,0,1,1,7,8.0,"High Visitation, Rural"
393,WABA,6,7,0,4,0,3,0,0,0,20,3.0,Rural Sites
394,WACA,4,2,0,1,0,1,0,0,0,8,7.0,"Low Visitation, Rural"
395,WACO,2,2,2,1,0,0,0,0,0,7,6.0,"Low Visitation, Urban"
396,WAMO,8,7,0,21,7,0,6,0,7,56,2.0,Urban Sites
397,WAPA,1,3,0,1,0,0,4,0,0,9,6.0,"Low Visitation, Urban"
398,WASH,0,2,0,1,0,0,0,0,0,3,,
399,WEFA,6,3,0,2,0,0,0,0,0,11,5.0,Limited Access
400,WHHO,0,2,0,1,0,0,0,0,0,3,6.0,"Low Visitation, Urban"
401,WHIS,16,6,4,2,2,2,1,2,1,36,8.0,"High Visitation, Rural"
402,WHMI,2,10,0,1,1,0,4,0,0,18,6.0,"Low Visitation, Urban"
403,WHSA,0,3,0,1,0,0,0,0,0,4,8.0,"High Visitation, Rural"
404,WICA,17,5,1,4,1,0,1,0,0,29,8.0,"High Visitation, Rural"
405,WICL,0,2,0,1,0,0,0,0,0,3,5.0,Limited Access
406,WICR,4,2,0,1,0,1,0,0,0,8,6.0,"Low Visitation, Urban"
407,WIHO,4,5,0,1,0,1,0,0,0,11,3.0,Rural Sites
408,WORI,4,2,0,2,7,0,1,0,7,23,5.0,Limited Access
409,WOTR,0,2,0,1,0,0,0,0,0,3,1.0,Transit Park
410,WRBR,1,2,0,1,0,0,4,0,0,8,8.0,"High Visitation, Rural"
411,WRST,9,5,5,4,1,2,1,0,0,27,4.0,High Seasonality
412,WUPA,7,2,0,1,0,4,3,0,0,17,7.0,"Low Visitation, Rural"
413,WWII,0,2,0,1,7,0,2,0,0,12,2.0,Urban Sites
414,WWIM,2,2,0,1,0,0,0,0,0,5,2.0,Urban Sites
415,YELL,507,8,2,11,0,3,10,0,0,541,8.0,"High Visitation, Rural"
416,YOSE,0,5,0,2,0,0,0,0,0,7,1.0,Transit Park
417,YUCH,5,3,0,4,0,0,2,1,0,15,5.0,Limited Access
418,YUHO,0,2,0,1,0,0,0,0,0,3,,
419,ZION,6,8,1,3,0,0,0,1,0,19,1.0,Transit Park
