,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label,pagecount
340,SAHI,4,2,3,1,1,0,1,2,1,15,4.0,Urban Low Visitation,27
341,SAIR,1,2,0,1,1,0,0,0,0,5,4.0,Urban Low Visitation,23
342,SAJH,1,3,0,1,0,1,0,0,0,6,6.0,High Seasonal Variation,37
343,SAJU,0,3,0,2,0,0,1,0,0,6,5.0,Urban High Visitation,27
344,SAMA,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites,8
345,SAMO,0,2,1,2,1,5,1,0,0,12,5.0,Urban High Visitation,62
346,SAND,4,4,0,3,0,0,1,0,0,12,7.0,Rural Low Visitation,23
347,SAPA,1,2,0,1,3,0,0,0,0,7,4.0,Urban Low Visitation,28
348,SAPU,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation,15
349,SARA,5,4,0,3,28,1,0,0,0,41,6.0,High Seasonal Variation,36
350,SARI,0,2,0,1,0,0,0,0,0,3,6.0,High Seasonal Variation,26
351,SCBL,3,4,0,2,0,0,7,0,0,16,1.0,Transit Parks,28
352,SEKI,48,6,2,3,0,4,8,1,0,72,,,105
353,SEMO,3,2,0,1,0,0,1,0,0,7,,,26
354,SEQU,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation,8
355,SHEN,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation,17
356,SHIL,3,2,0,1,1,1,3,0,1,12,8.0,Rural High Visitation,29
357,SITK,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation,15
358,SLBE,16,3,2,3,4,0,12,4,1,45,1.0,Transit Parks,70
359,SPAR,2,3,1,3,0,0,0,0,0,9,4.0,Urban Low Visitation,24
360,STEA,5,6,0,1,0,0,1,0,0,13,4.0,Urban Low Visitation,28
361,STLI,8,47,1,12,1,1,8,1,0,79,1.0,Transit Parks,36
362,STON,1,2,0,1,0,0,0,0,0,4,2.0,Urban Sites,22
363,STRI,2,2,0,1,0,0,1,0,0,6,4.0,Urban Low Visitation,46
364,SUCR,5,2,0,2,0,0,1,0,0,10,7.0,Rural Low Visitation,35
365,TAPR,11,3,1,1,1,1,3,0,0,21,7.0,Rural Low Visitation,32
366,THIS,1,2,0,2,0,0,0,0,0,5,2.0,Urban Sites,30
367,THJE,2,2,0,1,7,0,2,0,0,14,2.0,Urban Sites,24
368,THKO,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites,23
369,THRB,3,3,0,1,0,0,1,0,0,8,2.0,Urban Sites,27
370,THRI,2,2,1,3,2,0,0,0,2,12,3.0,Low Visitation Sites,39
371,THRO,1,2,0,1,0,0,0,0,0,4,8.0,Rural High Visitation,20
372,THST,1,5,0,4,0,0,2,0,0,12,7.0,Rural Low Visitation,28
373,TICA,1,4,1,4,0,1,0,0,0,11,4.0,Urban Low Visitation,25
374,TIMU,3,5,2,4,0,0,4,0,0,18,5.0,Urban High Visitation,40
375,TONT,0,4,0,1,0,0,0,0,0,5,7.0,Rural Low Visitation,25
376,TUAI,7,2,3,1,0,0,2,0,0,15,7.0,Rural Low Visitation,33
377,TUIN,6,2,2,1,0,0,1,0,0,12,7.0,Rural Low Visitation,31
378,TUMA,0,3,0,2,0,0,0,0,0,5,7.0,Rural Low Visitation,15
379,TUPE,2,2,0,1,0,0,2,0,0,7,,,23
380,TUSK,0,2,0,1,0,0,2,0,0,5,7.0,Rural Low Visitation,28
381,TUZI,0,5,0,2,0,0,0,0,0,7,7.0,Rural Low Visitation,15
382,ULSG,6,7,0,5,0,0,2,0,0,20,4.0,Urban Low Visitation,27
383,UPDE,1,2,1,1,0,0,0,0,0,5,8.0,Rural High Visitation,39
384,VAFO,2,2,0,1,0,18,0,0,0,23,5.0,Urban High Visitation,48
385,VALL,4,2,0,4,0,0,3,0,0,13,7.0,Rural Low Visitation,52
386,VALR,5,2,3,1,1,1,3,0,0,16,,,27
387,VAMA,4,4,1,3,0,3,1,0,0,16,4.0,Urban Low Visitation,31
388,VICK,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation,16
389,VICR,0,2,0,1,0,0,0,0,0,3,,,27
390,VIIS,0,3,0,1,0,0,0,0,0,4,4.0,Urban Low Visitation,16
391,VIVE,0,2,0,1,7,0,2,0,7,19,2.0,Urban Sites,24
392,VOYA,0,2,0,1,2,0,0,1,1,7,8.0,Rural High Visitation,55
393,WABA,6,7,0,4,0,3,0,0,0,20,3.0,Low Visitation Sites,31
394,WACA,4,2,0,1,0,1,0,0,0,8,7.0,Rural Low Visitation,34
395,WACO,2,2,2,1,0,0,0,0,0,7,4.0,Urban Low Visitation,24
396,WAMO,8,7,0,21,7,0,6,0,7,56,2.0,Urban Sites,30
397,WAPA,1,3,0,1,0,0,4,0,0,9,4.0,Urban Low Visitation,31
398,WASH,0,2,0,1,0,0,0,0,0,3,,,8
399,WEFA,6,3,0,2,0,0,0,0,0,11,7.0,Rural Low Visitation,27
400,WHHO,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites,16
401,WHHO,0,2,0,1,0,0,0,0,0,3,4.0,Urban Low Visitation,16
402,WHIS,16,6,4,2,2,2,1,2,1,36,8.0,Rural High Visitation,67
403,WHMI,2,10,0,1,1,0,4,0,0,18,4.0,Urban Low Visitation,29
404,WHSA,0,3,0,1,0,0,0,0,0,4,8.0,Rural High Visitation,15
405,WICA,17,5,1,4,1,0,1,0,0,29,8.0,Rural High Visitation,31
406,WICL,0,2,0,1,0,0,0,0,0,3,4.0,Urban Low Visitation,24
407,WICR,4,2,0,1,0,1,0,0,0,8,4.0,Urban Low Visitation,28
408,WIHO,4,5,0,1,0,1,0,0,0,11,3.0,Low Visitation Sites,36
409,WORI,4,2,0,2,7,0,1,0,7,23,4.0,Urban Low Visitation,28
410,WOTR,0,2,0,1,0,0,0,0,0,3,1.0,Transit Parks,18
411,WRBR,1,2,0,1,0,0,4,0,0,8,8.0,Rural High Visitation,25
412,WRST,9,5,5,4,1,2,1,0,0,27,6.0,High Seasonal Variation,103
413,WUPA,7,2,0,1,0,4,3,0,0,17,7.0,Rural Low Visitation,27
414,WWII,0,2,0,1,7,0,2,0,0,12,2.0,Urban Sites,24
415,WWIM,2,2,0,1,0,0,0,0,0,5,2.0,Urban Sites,20
416,YELL,507,8,2,11,0,3,10,0,0,541,8.0,Rural High Visitation,148
417,YOSE,0,5,0,2,0,0,0,0,0,7,1.0,Transit Parks,28
418,YUCH,5,3,0,4,0,0,2,1,0,15,6.0,High Seasonal Variation,48
419,YUHO,0,2,0,1,0,0,0,0,0,3,,,20
420,ZION,6,8,1,3,0,0,0,1,0,19,1.0,Transit Parks,22
